ID,Auth1_prijm,Auth1_jmeno,Titul,nakladatelstvi,kategorie,Podtitul,edice,Auth2_prijm,Auth2_jmeno,Auth3_prijm,Auth3_jmeno,p_stran,rok_vydani,umisteni,ISBN,EAN,misc,svazek,odkaz,nahled,obrazek,adr
45,Lancaster,Roy,Rostliny v interiéru,KNIŽNÍ KLUB,400,,,Biggs,Matthew,,,128,1998,,80-242-0098-8,,,,,,,https://www.databazeknih.cz/knihy/rostliny-v-interieru-109637
46,Lasenic,Pierre de,Tarot: Klíč k iniciaci,TRIGON,550,,,,,,,,,,80-86159-58-2,,,,,,,https://www.databazeknih.cz/dalsi-vydani/tarot-klic-k-iniciaci-401678
47,Johnson,George,Zkratka napříč časem,DOKOŘÁN,550,Cesta ke kvantovému počítači,Pergamen,,,,,235,2004,,"80-86569-83-7, 80-7203-609-2",,,,,,,https://www.databazeknih.cz/knihy/zkratka-napric-casem-25112
48,Fejgin,Oleg,Nikola Tesla,EUGENIKA,700,Vládce blesků,,,,,,272,2012,,X,,,,,,,https://www.databazeknih.cz/knihy/nikola-tesla-vladce-blesku-169691
49,Hancock,Jonathan,Skryté síly mozku,POZNÁNÍ,520,Průvodce sysémem využití mozku k zásadnímu zlepšení paměti,,,,,,254,2011,,978-80-87419-15-1,,,,,,,https://www.databazeknih.cz/dalsi-vydani/skryte-sily-mozku-117036
50,Lasenic,Pierre de,Orientální láska,VODNÁŘ,550,,Bibloteca Horev,,,,,,,,978-80-86226-06-4,,,2,,,,https://www.databazeknih.cz/knihy/orientalni-laska-165455
51,Lasenic,Pierre de,Hermetická Iniciace martinismu,VODNÁŘ,550,,Bibloteca Horev,,,,,,,,978-80-7439-019-7,,,5,,,,https://www.databazeknih.cz/knihy/hermeticka-iniciace-martinismu-165456
52,Veselý,Josef,Příručka vysoké magie,VODNÁŘ,550,,,,,,,,,,978-80-86226-75-0,,,,,,,https://www.databazeknih.cz/knihy/prirucka-vysoke-magie-55639
53,Veselý,Josef,Techniky magie na pozadí alchymie,VODNÁŘ,550,,,,,,,,,,978-80-7439-013-5,,,,,,,https://www.databazeknih.cz/knihy/techniky-magie-na-pozadi-alchymie-55641
54,Nakonečný,Milan,"Magie v historii, teorii a praxi",VODNÁŘ,550,,,,,,,,,,80-85255-12-X,,,,,,,https://www.databazeknih.cz/knihy/magie-v-historii-teorii-a-praxi-59684
55,Fulcanelli,,Tajemství katedrál,TRIGON,550,,,,,,,,,,978-80-86159-90-4,,,,,,,https://www.databazeknih.cz/knihy/tajemstvi-katedral-165491
56,Fulcanelli,,Příbytky filosofů 1,TRIGON,550,,,,,,,,,,80-85320-80-0,,,,,,,https://www.databazeknih.cz/knihy/pribytky-filosofu-1-36356
57,Fulcanelli,,Příbytky filosofů 2,TRIGON,550,,,,,,,,,,80-85320-80-0,,,,,,,https://www.databazeknih.cz/knihy/pribytky-filosofu-2-36357
58,Kabelák,František,Magia Divina,TRIGON,550,,,,,,,,,,80-86159-88-4,,,,,,,https://www.databazeknih.cz/knihy/magie-i-magia-divina-339831
59,Abba,Theofanus,Dopisy Paracelsovi,VODNÁŘ,550,,Bibloteca Horev,,,,,,,,978-80-7439-022-7,,,7,,,,https://www.databazeknih.cz/knihy/z-odkazu-proroku-iii-dopisy-paracelsovi-dvaadvacet-arkan-tarotu-transmutace-divinalni-174602
60,Purš,Ivo,Alchymistická mše,MALVERN,550,Sborník textů ke vztahům alchymie a křesťanství,,Hlaváček,Jakub,,,285,2008,,X,,,,,,,https://www.databazeknih.cz/knihy/alchymicka-mse-sbornik-textu-ke-vztahum-alchymie-a-krestanstvi-118989
61,Alleau,René,Hermés a dějiny věd,MALVERN,550,,,,,,,250,2005,,80-86702-09-X,,,,,,,https://www.databazeknih.cz/knihy/hermes-a-dejiny-ved-4036
62,Roger,Bernard,Objevování alchymie,ARGO,550,,,,,,,,,,80-86702-10-3,,,,,,,https://www.databazeknih.cz/knihy/objevovani-alchymie-115932
63,Kabelák,František,Praktická spagyrie,HORUS,550,,,,,,,,,,80-901884-3-5,,,,,,,https://www.databazeknih.cz/knihy/prakticka-spagyrie-59156
64,Crilly,Tony,Matematika,SLOVART,620,"50 myšlenek, které musíme znát",,,,,,208,2007,,978-80-242-3596-7,,,,,,,https://www.databazeknih.cz/knihy/velke-otazky-matematika-135686
65,Wiesner,Ivo,Stezka draka,AOS PUBLISHING,550,Temné mocnosti proti stezce draka,,,,,,,,,80-86063-39-9,,,,,,,https://www.databazeknih.cz/knihy/stezka-draka-58068
66,Wiesner,Ivo,Alchymie a theurgie svatého ohně,AOS PUBLISHING,550,,,,,,,,,,80-86063-74-7,,,,,,,https://www.databazeknih.cz/knihy/alchymie-a-theurgie-svateho-ohne-95272
67,Wiesner,Ivo,Světlo z dávných věků,AOS PUBLISHING,550,,,,,,,,,,"80-86063-56-9, 80-900738-2-4",,,,,,,https://www.databazeknih.cz/knihy/svetlo-z-davnych-veku-37672
68,Wiesner,Ivo,Poutníci do země andělů,AOS PUBLISHING,550,,,,,,,,,,978-80-86063-78-2,,,,,,,https://www.databazeknih.cz/knihy/poutnici-do-zeme-andelu-37673
69,Wiesner,Ivo,Bohové a apokalypsy,AOS PUBLISHING,550,,,,,,,,,,80-901919-9-1,,,,,,,https://www.databazeknih.cz/knihy/bohove-a-apokalypsy-57950
70,Eliade,Mircea,Kováři a alchymisté,ARGO,550,,CapriCorn,,,,,,,,80-7203-320-4,,,,,,,https://www.databazeknih.cz/knihy/kovari-a-alchymiste-35193
71,Rosny,Eric de,Vládcové noci,ARGO,550,,CapriCorn,,,,,,,,80-7203-413-8,,,,,,,https://www.databazeknih.cz/knihy/vladcove-noci-99714
72,Lévi,Eliphas,Dogma a rituál vysoké magie,TRIGON,550,,,,,,,,,,80-86159-43-4,,,,,,,https://www.databazeknih.cz/knihy/dogma-a-ritual-vysoke-magie-73706
73,Lévi,Eliphas,Zasvěcovací dopisy do vysoké magie a mystiky čísel,TRIGON,550,,,,,,,,,,80-86159-62-0,,,,,,,https://www.databazeknih.cz/knihy/zasvecovaci-dopisy-do-vysoke-magie-a-mystiky-cisel-91527
74,Griese,Otakar,Světlo Egypta,OLDM,550,Duševěda - Hvězdověda,,Tuček,Karel,,,,,,978-8087403-06-8,,,,,,,https://www.databazeknih.cz/knihy/svetlo-egypta-260414
75,Váňa,Pavel,Průvodce bylináře Pavla celým rokem,EMINENT,400,,,,,,,,,,80-7281-011-1,,,,,,,https://www.databazeknih.cz/knihy/pruvodce-bylinare-pavla-celym-rokem-111827
76,Mavéric,Jean,Hermetické lékařství rostlinné,OLDM,400,,,,,,,,,,978-80-87403-01-3,,,,,,,https://www.databazeknih.cz/knihy/hermeticke-lekarstvi-rostlinne-117907
77,Rodale,Robert,Organická zahrada,PRAGMA,400,Nová encyklopedie,,,,,,654,2008,,978-80-7349-063-8,,,,,,,https://www.databazeknih.cz/knihy/organicka-zahrada-120971
78,Svoboda,Jaroslav,Kompletní návod k vytvoření ekozahrady a rodového statku,SMART PRESS,400,,,,,,,,,,978-80-87049-28-0,,,,,,,https://www.databazeknih.cz/knihy/kompletni-navod-k-vytvoreni-ekozahrady-a-rodoveho-statku-110473
79,Hradil,Radomil,Česká biozahrada,FONTÁNA,400,,,,,,,186,2000,,80-86179-46-X,,,,,,,https://www.databazeknih.cz/knihy/ceska-biozahrada-89669
80,Juřík,Zdeněk,Astrologie především v obrazech,ZDENĚK JUŘÍK,650,,,,,,,228,2008,,978-80-254-3224-2,,,,,,,https://www.databazeknih.cz/knihy/astrologie-predevsim-v-obrazech-320482
81,Kynes,Sandra,Šepoty lesa,PRAGMA,400,,,,,,,,,,978-80-7349-179-6,,,,,,,https://www.databazeknih.cz/knihy/sepoty-lesa-stromy-a-magie-44044
82,Kabelák,František,I. A III. Kniha kabalistických schémat,HORUS,550,"Kniha tajemství velikého šému, Magické charaktery zvířetníku",,,,,,,,,X,,,,,,,
83,Lévi,Eliphas,"Věda duchů, kniha moudrých",TRIGON,550,,,,,,,,,,978-80-86159-76-8,,,,,,,https://www.databazeknih.cz/knihy/veda-duchu-kniha-moudrych-340022
84,Böhmig,Franz,2000 rad pro zahrádkáře,OTOVO NAKLADATELSTVÍ,400,,,Peleška,Stanislav,,,,,,978-80-7451-315-2,,,,,,,https://www.databazeknih.cz/dalsi-vydani/2000-rad-pro-zahradkare-271613
85,*,,Rok v zahradě,Výběr Readers Digest,400,,,,,,,,,,80-86196-37-2,,,,,,,https://www.databazeknih.cz/knihy/rok-v-zahrade-149174
86,Harner,Michael,Cesta šamana,DHARMAGAIA,550,,,,,,,200,2010,,978-80-86685-81-6,,,,,,,https://www.databazeknih.cz/knihy/cesta-samana-35065
87,Semjonova,A.,Výroba bylinných tinktur,FONTÁNA,400,,,,,,,,,,978-80-7336-330-7,,,,,,,https://www.databazeknih.cz/knihy/prakticka-vyroba-bylinnych-tinktur-88210
88,Wichmann,Jörg,Homeopatie,FONTÁNA,510,alchymie a šamanismus,,,,,,,,,X,,,,,,,https://www.databazeknih.cz/knihy/homeopatie-62689
89,Šindlářová,I.,Mýty a báje starých slovanů,FONTÁNA,540,,,,,,,,,,80-7336-132-9,,,,,,,https://www.databazeknih.cz/knihy/myty-a-baje-starych-slovanu-97466
90,Miška,Jan,Magická prasíla,MLADÁ FRONTA,550,,,,,,,,,,80-204-1455-X,,,,,,,https://www.databazeknih.cz/knihy/magicka-prasila-50101
91,Nakonečný,Milan,Smaragdová deska Herma Trismegista,VODNÁŘ,550,,,,,,,,,,80-85255-48-0,,,,,,,https://www.databazeknih.cz/knihy/smaragdova-deska-herma-trismegista-23690
92,Pendell,Dale,Pharmako/Gnosis,DYBBUK,400,,,,,,,,,,978-80-86862-91-0,,,,,,,https://www.databazeknih.cz/knihy/pharmako-gnosis-fantastika-a-daimonika-85831
93,Pendell,Dale,Pharmako/Dynamis,DYBBUK,400,,,,,,,,,,80 86862 06 2,,,,,,,https://www.databazeknih.cz/knihy/pharmako-dynamis-90105
94,Stein,Sigfried,Množení rostlin pro dům a zahradu,PRÍRODA,400,,,,,,,104,2000,,80-07-01121-8,,,,,,,https://www.databazeknih.cz/knihy/mnozeni-rostlin-pro-dum-a-zahradu-482903
95,Astr,C,Elixír mudrcův,OLDM,550,,,,,,,,2010,,978-80-87403-03-7,,,,,,,https://www.databazeknih.cz/knihy/elixir-mudrcuv-104466
96,Jordan,H,Léčivá energie místa a krajiny,FONTÁNA,400,,,,,,,,,,978-80-7336-562-2,,,,,,,https://www.databazeknih.cz/knihy/leciva-energie-mista-a-krajiny-96172
97,Cunningham,Scott,"The complete book of incense, oils and brews",Llewellyn Publications,400,,,,,,,,,,X,,,,,,,
98,Haag,Stefan,O druidských nápojích a čarodějném bejlí,GRANIT,400,,,Daňková,Vladimíra,,,192,2003,,978-80-7296-027-X,,,,,,,https://www.databazeknih.cz/knihy/o-druidskych-napojich-a-carodejnem-bejli-128727
99,,,Příběh o povstání hada,BIBLIOTHECA GNOSTICA,550,,,,,,,215,1996,,80-902072-0-0,,,,,,,https://www.databazeknih.cz/knihy/pribeh-o-povstani-hada-194447
100,Stewart,Amy,Zlé rostliny,GRADA,400,a další botanická zvěrstva,,Roubal,Jan,,,256,2011,,978-80-247-3936-6,,,,,,,https://www.databazeknih.cz/knihy/zle-rostliny-a-dalsi-botanicka-zverstva-94159
101,,,Hvězdy,IKAR,400,,,,,,,,,,X,,,,,,,https://www.databazeknih.cz/knihy/hvezdy-43735
102,Johnson,Clive,Jak přežít v přírodě,SVOJTKA,520,,,,,,,320,2002,,80-7237-488-5,,,,,,,https://www.databazeknih.cz/knihy/jak-prezit-v-prirode-135745
103,Oken,Alan,Astrologie,PRAGMA,550,,,,,,,,,,80-7205-673-5,,,,,,,https://www.databazeknih.cz/knihy/astrologie-48718
104,Papus,,Základy praktické magie,VOLVOX GLOBATOR,550,,,,,,,,,,80-7207-587-X,,,,,,,https://www.databazeknih.cz/knihy/zaklady-prakticke-magie-96968
105,Bergier,Jacques,Jitro kouzelníků,XYZ,550,,,Pauwels,Louis,,,316,,,80-903-3997-2,,,,,,,https://www.databazeknih.cz/knihy/jitro-kouzelniku-9781
106,Frater,V. D.,Praktická sigilická magie,VODNÁŘ,550,,,,,,,,,,978-80-7439-014-2,,,,,,,https://www.databazeknih.cz/knihy/prakticka-sigilicka-magie-129651
107,Kefer,Jan,Theurgie,TRIGON,550,,,,,,,,,,978-80-86159-75-1,,,,,,,https://www.databazeknih.cz/knihy/theurgie-296411
108,Xenofontov,Gavrill,Sibiřští šamani a jejich ústní tradice,ARGO,550,,CapriCorn,,,,,,,,80-7203-334-4,,,,,,,https://www.databazeknih.cz/knihy/sibirsti-samani-a-jejich-ustni-tradice-32854
109,Stejskal,Martin,Labyrintem míst klatých,EMINENT,550,,,,,,,1008,,,978-80-7281-415-2,,,,,,,https://www.databazeknih.cz/knihy/labyrintem-mist-klatych-77792
110,Kabelák,František,Herbář hermetikův,VODNÁŘ,550,,Bibloteca Horev,,,,,,,,9788074390098,,,4,,,,https://www.databazeknih.cz/knihy/herbar-hermetikuv-64522
111,Einzinger,Johann M. M.,Démonologie,VODNÁŘ,550,,Bibloteca Horev,,,,,,,,9788074390340,,,8,,,,https://www.databazeknih.cz/knihy/demonologie-174601
112,Dluhoš,Marek,Kabalistická theurgie,VODNÁŘ,550,,,,,,,,,,978-80-7439-003-6,,,,,,,https://www.databazeknih.cz/knihy/kabalisticka-teurgie-66490
113,Chedwick,David,Zen je právě tady,VOLVOX GLOBATOR,510,Poučné příběhy a anekdoty Shunrya Suzukiho,,,,,,,,,978-80-7207-838-7,,,,,,,https://www.databazeknih.cz/dalsi-vydani/zen-je-prave-tady-poucne-pribehy-a-anekdoty-shunryu-suzukiho-180375
114,Rabelais,François,Pojednání o případném pití vína…,VOLVOX GLOBATOR,540,"totiž velikém & ustavičném, pro potěchu ducha & těla & proti všelijakým chorobám oudů zevnitřních i vnitřních, sepsaná ku poučení & užitku brachů mokrého cechu mistrem Alcofribasem, vrchním číšníkem velikého Pantagruela",,,,,,56,2012,,978-80-7207-836-3,9788072078363,,,,,,https://www.databazeknih.cz/knihy/pojednani-o-pripadnem-piti-vina-118301
115,Brooks,Max,Zombie,VOLVOX GLOBATOR,520,Příručka pro přežití,,,,,,,,,978-80-7207-764-9,,,,,,,https://www.databazeknih.cz/knihy/zombie-prirucka-pro-preziti-35173
116,Mucha,Alfons,Otčenáš,VOLVOX GLOBATOR,540,,,,,,,,,,978-80-7207-757-1,,,,,,,https://www.databazeknih.cz/knihy/otcenas-31446
117,Sade,D.A.F. markýz de,Leonora a Klementina,VOLVOX GLOBATOR,520,,,,,,,,,,978-80-7207-686-4,,,,,,,https://www.databazeknih.cz/knihy/leonora-a-klementina-45857
118,Pohl,Jan Václav,Není hrubě zdrávo v tomto povětří zůstati…,VOLVOX GLOBATOR,540,,,,,,,,,,978-80-7207-651-2,,,,,,,https://www.databazeknih.cz/knihy/neni-hrube-zdravo-v-tom-povetri-pozustati-56735
119,Papus,,Kabala,VOLVOX GLOBATOR,550,,,,,,,,,,80-7207-586-1,,,,,,,https://www.databazeknih.cz/knihy/kabala-96969
120,Shapiro,Rabi Rami,Chasidské povídky,VOLVOX GLOBATOR,530,,,,,,,,,,80-7207-614-0,,,,,,,https://www.databazeknih.cz/knihy/chasidske-povidky-90976
121,Brouk,Bohuslav,O funkcích práce a osobitosti,VOLVOX GLOBATOR,530,,,,,,,,,,978-80-7207-708-3,,,,,,,https://www.databazeknih.cz/knihy/o-funkcich-prace-a-osobitosti-20647
122,Brouk,Bohuslav,O pošetilosti života i smrti,VOLVOX GLOBATOR,530,,,,,,,,,,978-80-7207-707-6,,,,,,,https://www.databazeknih.cz/knihy/o-posetilosti-zivota-i-smrti-111244
123,Utte,Karel,Kniha o čuráku,DYBBUK,520,,,Aston,Nela D.,,,,,,978-80-86862-90-3,,,,,,,https://www.databazeknih.cz/knihy/kniha-o-curaku-21323
124,Utte,Karel,Kniha o kundě,DYBBUK,520,,,Aston,Nela D.,,,,,,978-80-86862-28-6,,,,,,,https://www.databazeknih.cz/knihy/kniha-o-kunde-21321
125,Utte,Karel,Kniha o mrdání,DYBBUK,520,,,Aston,Nela D.,,,,,,978-80-7438-000-6,,,,,,,https://www.databazeknih.cz/knihy/kniha-o-mrdani-28430
126,Astonová,Nela D.,Hovno?,DYBBUK,520,,,,,,,,,,978-80-7438-034-1,,,,,,,https://www.databazeknih.cz/knihy/hovno-66092
127,Astonová,Nela D.,Prdel!,DYBBUK,520,,,,,,,,,,978-80-7438-060-0,,,,,,,https://www.databazeknih.cz/knihy/prdel-111885
128,Griese,Otakar,Mumiální hermetická léčba a problém očarování,OLDM,550,,,,,,,,,,978-80-904245-6-2,,,,,,,https://www.databazeknih.cz/knihy/mumialni-hermeticka-lecba-a-problem-ocarovani-66488
129,Lasenic,Pierre de,Sexuální magie,TRIGON,550,,,,,,,,,,978-80-87908-02-0,,,,,,,https://www.databazeknih.cz/knihy/sexualni-magie-211366
130,Bardon,František,Praxe magické evokace,CHVOJKOVO,550,,,,,,,267,1998,,80-86183-03-3,,,,,,,https://www.databazeknih.cz/knihy/praxe-magicke-evokace-42752
131,Veselý,Josef,Slavné grimoáry minulosti,VODNÁŘ,550,,,,,,,168,2000,,80-86226-11-5,,,,,,,https://www.databazeknih.cz/knihy/slavne-grimoary-minulosti-11146
132,,,Goetie,VODNÁŘ,550,čili Menší klíčky Šalamounovy,Bibloteca Horev,,,,,,,,978-80-86226-95-8,,,1,,,,https://www.databazeknih.cz/knihy/goetie-cili-mensi-klicky-salamounovy-99073
133,Klíma-Toušek,Petr,Světlo na západě,VODNÁŘ,550,,Bibloteca Horev,,,,,,,,978-80-7439-007-4,,,3,,,,https://www.databazeknih.cz/knihy/svetlo-na-zapade-344170
